Date,Open,High,Low,Close,Adj Close,Volume
2009-02-01,5054.993164,5421.728027,4856.758301,4949.730469,4725.140625,4708485
2009-03-01,4907.308105,5065.004395,4361.170898,4768.841309,4552.458984,12154066
2009-04-01,4772.508301,5451.463379,4767.552734,5225.475586,4988.374512,9616467
2009-05-01,5225.475586,6224.580078,5225.475586,6199.404297,5918.112305,8411546
2009-06-01,6244.403809,6701.335449,6145.286133,6294.854492,6009.231934,10821213
2009-07-01,6303.874023,6958.049805,6145.286133,6572.185059,6273.978516,7042874
2009-08-01,6572.482422,6888.667480,6502.108887,6535.214355,6238.685059,11444430
2009-09-01,6531.844238,7156.284668,6293.962402,7123.080566,6799.877930,6476259
2009-10-01,7126.549316,7622.137207,6938.226074,7059.149414,6738.846191,8621870
2009-11-01,7067.079102,7532.931152,6938.325195,7487.238281,7147.512207,5747100
2009-12-01,7532.931152,8593.488281,7418.946289,8587.838867,8198.173828,9915944
2010-01-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.173828,0
2010-02-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.173828,0
2010-03-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.173828,0
2010-04-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.173828,0
2010-05-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.173828,0
2010-06-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.173828,0
2010-07-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.173828,0
2010-08-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.173828,0
2010-09-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.380859,0
2010-10-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.380859,0
2010-11-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.380859,0
2010-12-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.380859,0
2011-01-01,8587.838867,8587.838867,8587.838867,8587.838867,8198.380859,0
2011-02-01,8587.838867,8587.838867,8587.838867,8587.838867,8376.384766,0
2011-03-01,8587.838867,8587.838867,8587.838867,8587.838867,8376.384766,0
2011-04-01,8587.838867,8587.838867,8587.838867,8587.838867,8376.384766,0
2011-05-01,8587.838867,8587.838867,8587.838867,8587.838867,8376.384766,0
2011-06-01,8587.838867,8587.838867,8587.838867,8587.838867,8376.414063,0
2011-07-01,8587.838867,8587.838867,8587.838867,8587.838867,8376.414063,0
2011-08-01,8587.838867,8587.838867,8587.838867,8587.838867,8376.414063,0
2011-09-01,8587.838867,13430.423828,8587.838867,10900.944336,10632.575195,9982283
2011-10-01,10900.944336,12662.262695,9961.310547,12515.569336,12319.868164,14109757
2011-11-01,12515.569336,12569.092773,11175.500000,11933.749023,11747.145508,14162459
2011-12-01,11933.749023,12379.778320,11864.367188,12130.993164,11941.302734,13006169
2012-01-01,12083.416992,12468.983398,11765.249023,12172.622070,11982.282227,17771612
2012-02-01,12172.622070,13367.979492,12131.984375,12983.403320,12916.309570,12338497
2012-03-01,12983.403320,14322.481445,12833.736328,14236.249023,14162.680664,21856199
2012-04-01,14236.249023,14282.833984,13353.112305,13588.020508,13517.800781,10124492
2012-05-01,13588.020508,13678.217773,11612.608398,13063.688477,12996.179688,21319953
2012-06-01,13049.812500,13906.187500,12291.563477,13035.935547,12994.687500,69119371
2012-07-01,13035.935547,13232.188477,11794.984375,11828.684570,11791.256836,26331308
2012-08-01,11828.684570,11975.378906,10902.926758,11284.529297,11248.822266,19521160
2012-09-01,11284.529297,12192.445313,11002.043945,11923.836914,11886.107422,7189629
2012-10-01,11923.836914,12309.404297,11606.661133,11792.010742,11754.698242,7195589
2012-11-01,11792.010742,11814.807617,10427.163086,10512.404297,10479.140625,8384203
2012-12-01,10512.404297,11350.771484,10407.338867,11153.496094,11118.204102,20028002
2013-01-01,11153.496094,11838.507813,11152.504883,11549.038086,11512.494141,12479483
2013-02-01,11549.038086,11618.431641,11009.752930,11183.236328,11147.851563,6934591
2013-03-01,11183.236328,16544.369141,10086.821289,10116.560547,10084.549805,7572270
2013-04-01,10116.560547,10240.477539,9442.454102,9646.371094,9615.847656,13112522
2013-05-01,9646.371094,9734.897461,8798.086914,8902.176758,8874.007813,15231032
2013-06-01,8885.720703,9566.371094,7682.836426,8546.585938,8522.398438,12205255
2013-07-01,8546.585938,8626.883789,6750.982910,6887.489746,6867.997559,8924767
2013-08-01,6887.489746,7211.953125,5898.436035,6343.445801,6325.493164,20120978
2013-09-01,6355.738281,7831.536621,6355.440918,7565.363770,7543.952637,15228663
2013-10-01,7563.876465,8435.258789,7365.609863,8417.216797,8393.395508,15150095
2013-11-01,8417.216797,8842.697266,8040.000000,8594.200195,8569.877930,20357564
2013-12-01,8594.200195,8608.900391,8000.000000,8254.500000,8231.138672,20471910
2014-01-01,8254.500000,8845.000000,7545.000000,7702.500000,7680.701660,34670937
2014-02-01,7702.500000,8670.000000,7441.000000,8645.799805,8621.332031,10534588
2014-03-01,8645.799805,8630.000000,7860.000000,8322.299805,8298.748047,9876405
2014-04-01,8320.000000,8635.099609,8100.000000,8621.299805,8596.901367,7666594
2014-05-01,8621.299805,8879.599609,7926.700195,7954.000000,7931.489746,9167168
2014-06-01,7954.600098,8120.000000,7419.200195,7444.200195,7423.132813,12712626
2014-07-01,7444.200195,7619.899902,6729.799805,6750.000000,6730.897461,11547428
2014-08-01,6737.899902,7555.000000,6660.000000,7316.299805,7295.594238,9631633
2014-09-01,7316.299805,7800.000000,6770.000000,6860.600098,6841.184570,9501628
2014-10-01,6860.600098,7100.000000,6516.100098,6917.000000,6897.424805,9313415
2014-11-01,6917.000000,7380.000000,6758.299805,7269.700195,7249.126953,11589458
2014-12-01,7269.700195,7380.000000,6612.100098,7064.200195,7044.207520,20271426
2015-01-01,7064.200195,7499.899902,6650.000000,6684.500000,6665.582031,7444356
2015-02-01,6684.500000,6965.100098,6535.000000,6570.600098,6552.005371,7750524
2015-03-01,6600.000000,6610.000000,5087.899902,5123.700195,5109.200195,8998733
2015-04-01,5121.000000,6195.000000,4980.000000,5853.399902,5836.834473,5730954
2015-05-01,5853.399902,6068.000000,5070.000000,5232.899902,5218.090820,7862476
2015-06-01,5232.899902,5410.000000,4401.000000,4556.899902,4544.003906,6240520
2015-07-01,4556.899902,4675.000000,3945.899902,4241.700195,4229.695801,5599633
2015-08-01,4241.700195,4330.000000,3450.000000,3877.500000,3866.526611,6122303
2015-09-01,3848.800049,3899.000000,3270.000000,3341.699951,3332.242676,5644642
2015-10-01,3341.699951,4039.000000,3250.000000,3693.600098,3683.146973,4302848
2015-11-01,3693.600098,4175.000000,3690.000000,3821.100098,3810.286133,6070908
2015-12-01,3821.100098,3900.000000,3401.000000,3721.800049,3711.267090,3007148
2016-01-01,3721.800049,3962.800049,3225.000000,3652.399902,3642.063232,3840368
2016-02-01,3652.399902,4180.000000,3500.000000,3959.399902,3948.194580,4655773
2016-03-01,3959.399902,4780.100098,3961.000000,4697.299805,4684.006348,6260761
2016-04-01,4697.299805,4930.000000,4527.700195,4717.299805,4703.949707,3309507
2016-05-01,4717.000000,4861.000000,4100.000000,4203.399902,4191.504395,3913528
2016-06-01,4203.399902,4565.000000,4150.000000,4380.700195,4368.302246,3799311
2016-07-01,4380.700195,5940.000000,4300.000000,5713.899902,5697.728516,6965399
2016-08-01,5713.899902,5865.000000,5350.000000,5413.500000,5398.179688,3561250
2016-09-01,5413.000000,5599.000000,5102.000000,5287.799805,5272.834961,38505710
2016-10-01,5287.799805,6600.000000,5250.000000,6256.600098,6238.893555,4718311
2016-11-01,6256.600098,6450.100098,5810.100098,5942.700195,5925.881836,3705985
2016-12-01,5942.700195,6158.000000,5521.000000,5643.399902,5627.428711,5649817
2017-01-01,5643.399902,6190.000000,5569.700195,5962.700195,5945.825684,17117262
2017-02-01,5989.899902,6690.000000,5920.100098,6578.000000,6559.383789,5862045
2017-03-01,6610.000000,8800.000000,6545.000000,8357.000000,8333.348633,11090498
2017-04-01,8357.000000,8855.000000,8244.900391,8419.900391,8396.071289,14374797
2017-05-01,8419.900391,8590.000000,7300.000000,7467.600098,7446.466309,13614242
2017-06-01,7470.000000,7900.000000,7230.000000,7378.000000,7377.441406,12799630
2017-07-01,7378.000000,8130.000000,7300.000000,7647.799805,7647.220703,15772921
2017-08-01,7647.000000,8020.000000,7450.000000,7879.700195,7879.104004,17657093
2017-09-01,7878.000000,9020.000000,7806.000000,8411.000000,8410.363281,13291271
2017-10-01,8424.000000,8890.000000,8373.099609,8774.799805,8774.134766,12318726
2017-11-01,8774.799805,8885.000000,8015.000000,8128.399902,8127.784180,14872206
2017-12-01,8160.000000,9129.599609,7738.399902,8717.900391,8717.240234,13881554
2018-01-01,8717.900391,10499.000000,8600.000000,10370.000000,10369.214844,12251370
2018-02-01,10400.000000,10400.000000,9151.000000,9742.599609,9741.861328,7617755
2018-03-01,9742.599609,9947.000000,9080.000000,9384.700195,9383.989258,9649917
2018-04-01,9337.000000,9670.000000,9164.000000,9406.400391,9405.688477,8483101
2018-05-01,9406.400391,9406.400391,7453.000000,7607.100098,7606.523926,16463603
2018-06-01,7585.000000,7818.500000,6400.100098,6482.200195,6481.822266,16635352
2018-07-01,6482.200195,7583.899902,6380.200195,7262.100098,7261.676270,7775762
2018-08-01,7258.000000,7450.000000,5999.000000,6377.600098,6377.228027,10990800
2018-09-01,6377.600098,6680.000000,5900.100098,6255.899902,6255.534668,11916140
2018-10-01,6300.000000,6890.000000,5860.000000,6329.799805,6329.430664,15224858
2018-11-01,6329.799805,6988.000000,6125.000000,6892.799805,6892.397461,11893331
2018-12-01,7000.000000,7100.000000,6406.000000,6934.200195,6933.795410,9578902
2019-01-01,6934.200195,8080.000000,6934.200195,7839.000000,7838.542480,6961621
2019-02-01,7750.000000,7950.000000,7501.000000,7620.000000,7619.555176,1321518
2019-03-01,7550.000000,8030.100098,7050.100098,7235.000000,7234.578125,1750233
2019-04-01,7251.000000,7496.000000,6511.100098,6717.000000,6716.607910,1099273
2019-05-01,6717.000000,6930.000000,5700.000000,6220.000000,6219.637207,2505068
2019-06-01,6370.000000,6539.899902,6155.100098,6375.000000,6374.714844,1546459
2019-07-01,6380.000000,7160.000000,6065.000000,6710.000000,6709.699707,1196055
2019-08-01,6675.000000,6900.000000,5527.100098,6059.899902,6059.628418,2330212
2019-09-01,5984.700195,9000.000000,5860.000000,8060.000000,8059.639160,1603522
2019-10-01,8045.000000,8650.000000,7840.899902,8200.000000,8199.632813,1455714
2019-11-01,8200.000000,9010.000000,8100.000000,8449.000000,8448.622070,2516195
2019-12-01,8445.000000,9000.000000,7300.000000,7545.000000,7544.662109,1604370
2020-01-01,7545.000000,7930.000000,6481.000000,6648.000000,6647.702637,4630373
2020-02-01,6606.000000,7359.399902,5456.000000,5456.000000,5455.755859,1410466
2020-03-01,5550.100098,5740.000000,1500.000000,2200.000000,2199.901611,6051148
2020-04-01,2000.000000,3355.000000,2000.000000,3155.000000,3154.858887,3894818
2020-05-01,3155.000000,3155.000000,680.000000,860.000000,859.961487,21650656
2020-06-01,930.000000,2579.899902,895.000000,1175.000000,1175.000000,7947267
2020-07-01,1198.000000,1550.000000,960.000000,1301.000000,1301.000000,2148594
2020-08-01,1385.000000,1449.900024,1172.099976,1311.599976,1311.599976,814055
2020-09-01,1311.800049,1418.800049,1200.000000,1281.500000,1281.500000,2911830
2020-10-01,1280.000000,1284.599976,1150.000000,1164.699951,1164.699951,1431336
2020-11-01,1155.000000,1197.000000,1001.000000,1078.800049,1078.800049,2153423
2020-12-01,1074.000000,1395.000000,1040.000000,1266.199951,1266.199951,1482699
2021-01-01,1266.199951,1329.900024,1200.000000,1248.099976,1248.099976,1485459
2021-02-01,1258.900024,1387.000000,1247.000000,1352.900024,1352.900024,1863177
2021-03-01,1351.000000,1380.000000,1200.000000,1209.000000,1209.000000,4518841
2021-04-01,1170.300049,1340.000000,1120.099976,1295.000000,1295.000000,2270038
2021-05-01,1360.000000,2200.000000,1310.000000,2085.100098,2085.100098,1299187
2021-06-01,2125.000000,2150.000000,1640.000000,1764.099976,1764.099976,755950
2021-07-01,1930.000000,2177.000000,1766.000000,1999.599976,1999.599976,1440162
2021-08-01,1999.599976,2035.000000,1782.000000,1830.699951,1830.699951,2106386
2021-09-01,1802.000000,1830.099976,800.000000,1493.199951,1493.199951,912085
2021-10-01,1360.000000,1526.099976,1170.000000,1187.300049,1187.300049,3731611
2021-11-01,1187.300049,1337.000000,139.990005,270.000000,270.000000,2188625
2021-12-01,210.940002,596.900024,210.940002,326.269989,326.269989,8376939
2022-01-01,290.000000,323.989990,290.000000,290.000000,290.000000,458747
